"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"2.5. Restinga Herbácea/Arbustiva","20129.96211048588","17611.43785268537","15620.74173737779","15621.411215508826","16341.375587737832","16778.147802978358","16827.266709142936","16669.10209218136","16832.038228051813","16572.157567285085","16165.655484411525","16065.646698858598","16353.634289160023","16770.139402081135","17831.00116879869","18649.29268679805","18943.839999725406","18209.083333081016","17520.23164301123","17109.746591949322","16864.175326977405","16977.168052221572","17241.55361881085","17594.245394232043","17268.537918731585","16413.91492108754","16017.380570312444","15740.151825274626","16013.949692291073","16645.318491375736","16804.98802408441","17362.588500640737","17550.909256469546","17483.676161962627","17874.393043505715","18764.603601422026","19893.747465844543"
"2.6. Outras Formações não Florestais","435.2421391601568","297.6397612609865","253.2531286743164","305.8793926513676","376.0812274719266","391.01912042236694","355.8240664917027","268.9964897399931","181.77211457519564","80.52807964477546","69.38124972534185","63.47546982421876","68.48126255493172","75.1702483032227","86.82940654296878","73.02740712280271","71.51082262573242","76.2521854431152","76.00214124755855","86.73649213867186","85.89374460449218","97.4098770812988","107.74022722778318","116.021607824707","111.77996839599611","95.27920847167974","94.25247448730471","79.95852073364257","93.48040499877926","139.04271087646504","161.61316406250043","178.78107450561572","235.65697337036076","296.5669909057615","353.7403730285647","407.8500875793468","588.5446511901856"
"3. Agropecuária","5584020.261081756","5690647.429639755","5743827.639332099","5765266.486120826","5807558.4966507135","5828055.03976681","5858797.315995144","5865437.674121708","5865717.1540472675","5862859.782132722","5878905.955322785","5885036.003087513","5891423.317285248","5898585.056223105","5937346.383051902","5949630.777951451","5957192.675588425","5957752.127770266","5956204.62029701","5955526.177745208","5954370.383257151","5926152.994077797","5879903.425040548","5847297.802328542","5808843.871892211","5768764.104556129","5754668.289604641","5758308.4398938175","5763642.600108702","5764946.107105142","5761061.663676499","5745610.554448577","5712470.407043097","5693166.03246217","5699052.438624085","5651381.424966076","5627441.105148581"
"3.1. Pastagem","4292445.300547962","4355039.734008967","4382893.532658324","4412025.853441981","4439893.790309416","4472082.554038828","4499547.242909725","4498858.680214221","4509367.772110155","4469411.788845404","4432875.9938811045","4418664.825640285","4407147.2202009205","4420482.057060958","4477803.013912122","4543327.484440455","4541355.846527596","4553862.3461042605","4569326.30142326","4531648.672052113","4446195.152876483","4370406.625389788","4293453.560796409","4215183.599898773","4150019.3924716935","4117196.066755619","4088662.762736625","4053625.4683011663","4031123.922690973","4014074.2346537495","3980901.526105463","3879897.193391872","3784721.875023579","3701445.6326932623","3630795.111899205","3596960.554148584","3644071.816357379"
"3.2. Agricultura","61071.70345410141","64841.571032867556","62647.190933422884","68254.30659088143","69179.99656166967","68342.87510766569","67185.42131927513","67349.679124329","67947.78289757117","70397.62687055691","75219.79303111606","79270.71945477315","83417.20661709699","85927.05306585168","91032.90698316066","101807.95813909441","105279.70902412219","105840.13222490328","101958.65980707502","104611.84869737022","105259.7413110483","108659.92412348144","114246.31069981161","117786.023314344","120910.8789200869","122725.62011089502","127714.93998324624","137858.19987747134","152672.58185160838","171196.86354710892","182691.1374379467","182581.33218105577","185665.56086492352","187919.95809859678","193332.5471979986","201251.12877812426","207323.21728698013"
"3.2.1. Lavoura Temporária","8996.62206675415","4414.832277606198","2627.137248510751","2349.3646907775837","2080.150575164775","2164.4022322143346","2472.940935766583","2478.7046403136983","2725.684983367937","2750.322649865716","2642.671958093264","2612.10208519898","2364.84240143434","2244.7032661255084","2247.38145545044","2333.527951959218","2322.2206659973085","2412.3546204528748","2420.5808098632738","2233.9765133667074","2069.5968243835514","2136.572440136715","2282.9434595214916","2262.434546618656","2117.739387176513","2145.131461541755","2389.9993424560553","2709.2131292114286","3233.784841479502","3489.8848150512813","3808.149991680922","4275.930878912355","5101.408949658212","5789.8183697082495","5882.450122399885","5958.912141369591","12194.805032299777"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","5.597400543212891","12.53339888305664","8.718795379638669","1.7828236633300785","1.188510778808594","3.9891120544433605","5.426212548828126","1.9464944213867186","","","","","","2.0355044067382817","2.0355044067382817","0.5088605834960938","0.8482094299316406","2.546856646728516","2.8869506713867192","2.8869506713867192","11.536269049072267"
"3.2.1.2. Cana","0.5912499572753906","0.5912499572753906","","","","","","","","","","","3.4635766235351544","8.447879687499999","10.643942913818362","10.306036120605471","2.1960632263183597","","","0.5914289672851563","13.0925042602539","26.521839306640622","49.83515512084948","55.24189536132786","56.93391370849593","48.659363842773466","49.92813453369145","27.88083397827143","21.544122137451154","18.925286541748026","16.13755635375976","24.671868365478506","14.617256054687505","18.58854830322267","46.717184002685585","46.717184002685585","47.39310212402348"
"3.2.1.3. Arroz (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
