system:index,area,band,class,class_name,.geo
10_0_1,24792.398842100793,classification_1995,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_2,415.2795751706662,classification_1995,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_3,6.93469662786875,classification_1995,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_4,1206.6731675958956,classification_1995,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_5,257.0530244998273,classification_1995,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_6,222.42854005585164,classification_1995,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_7,0.6955068224487309,classification_1995,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_8,44294.99831769252,classification_1995,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_9,12468.520691050739,classification_1995,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_10,39.86251388506249,classification_1995,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_11,289.9538941414209,classification_1995,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_12,58.02154755419922,classification_1995,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
